Treatment ProcessedRunFolder,Treatment Project,Treatment Sample,Control ProcessedRunFolder,Control Project,Control Sample,Factor
BSF_0024_D1P2GACXX_CASAVA182,FG3,CEBPA_KK_1,BSF_0024_D1P2GACXX_CASAVA182,FG3,input_KK,other
BSF_0024_D1P2GACXX_CASAVA182,FG3,CEBPA_KK_2,BSF_0024_D1P2GACXX_CASAVA182,FG3,input_KK,other
